ticker,date,close_price,prev_close,daily_return_pct
AAPL,07-02-2023,154.65,0,0
AAPL,08-02-2023,151.92,154.65,-1.7653
AAPL,09-02-2023,150.87,151.92,-0.6912
AAPL,10-02-2023,151.01,150.87,0.0928
AAPL,13-02-2023,153.85,151.01,1.8807
AAPL,14-02-2023,153.2,153.85,-0.4225
AAPL,15-02-2023,155.33,153.2,1.3903
AAPL,16-02-2023,153.71,155.33,-1.0429
AAPL,17-02-2023,152.55,153.71,-0.7547
AAPL,21-02-2023,148.48,152.55,-2.668
AAPL,22-02-2023,148.91,148.48,0.2896
AAPL,23-02-2023,149.4,148.91,0.3291
AAPL,24-02-2023,146.71,149.4,-1.8005
AAPL,27-02-2023,147.92,146.71,0.8248
AAPL,28-02-2023,147.41,147.92,-0.3448
AAPL,01-03-2023,145.31,147.41,-1.4246
AAPL,02-03-2023,145.91,145.31,0.4129
AAPL,03-03-2023,151.03,145.91,3.509
AAPL,06-03-2023,153.83,151.03,1.8539
AAPL,07-03-2023,151.6,153.83,-1.4497
AAPL,08-03-2023,152.87,151.6,0.8377
AAPL,09-03-2023,150.59,152.87,-1.4915
AAPL,10-03-2023,148.5,150.59,-1.3879
AAPL,13-03-2023,150.47,148.5,1.3266
AAPL,14-03-2023,152.59,150.47,1.4089
AAPL,15-03-2023,152.99,152.59,0.2621
AAPL,16-03-2023,155.85,152.99,1.8694
AAPL,17-03-2023,155,155.85,-0.5454
AAPL,20-03-2023,157.4,155,1.5484
AAPL,21-03-2023,159.28,157.4,1.1944
AAPL,22-03-2023,157.83,159.28,-0.9103
AAPL,23-03-2023,158.93,157.83,0.697
AAPL,24-03-2023,160.25,158.93,0.8306
AAPL,27-03-2023,158.28,160.25,-1.2293
AAPL,28-03-2023,157.65,158.28,-0.398
AAPL,29-03-2023,160.77,157.65,1.9791
AAPL,30-03-2023,162.36,160.77,0.989
AAPL,31-03-2023,164.9,162.36,1.5644
AAPL,03-04-2023,166.17,164.9,0.7702
AAPL,04-04-2023,165.63,166.17,-0.325
AAPL,05-04-2023,163.76,165.63,-1.129
AAPL,06-04-2023,164.66,163.76,0.5496
AAPL,10-04-2023,162.03,164.66,-1.5972
AAPL,11-04-2023,160.8,162.03,-0.7591
AAPL,12-04-2023,160.1,160.8,-0.4353
AAPL,13-04-2023,165.56,160.1,3.4104
AAPL,14-04-2023,165.21,165.56,-0.2114
AAPL,17-04-2023,165.23,165.21,0.0121
AAPL,18-04-2023,166.47,165.23,0.7505
AAPL,19-04-2023,167.63,166.47,0.6968
AAPL,20-04-2023,166.65,167.63,-0.5846
AAPL,21-04-2023,165.02,166.65,-0.9781
AAPL,24-04-2023,165.33,165.02,0.1879
AAPL,25-04-2023,163.77,165.33,-0.9436
AAPL,26-04-2023,163.76,163.77,-0.0061
AAPL,27-04-2023,168.41,163.76,2.8395
AAPL,28-04-2023,169.68,168.41,0.7541
AAPL,01-05-2023,169.59,169.68,-0.053
AAPL,02-05-2023,168.54,169.59,-0.6191
AAPL,03-05-2023,167.45,168.54,-0.6467
AAPL,04-05-2023,165.79,167.45,-0.9913
AAPL,05-05-2023,173.57,165.79,4.6927
GOOG,07-02-2023,108.04,0,0
GOOG,08-02-2023,100,108.04,-7.4417
GOOG,09-02-2023,95.46,100,-4.54
GOOG,10-02-2023,94.86,95.46,-0.6285
GOOG,13-02-2023,95,94.86,0.1476
GOOG,14-02-2023,94.95,95,-0.0526
GOOG,15-02-2023,97.1,94.95,2.2643
GOOG,16-02-2023,95.78,97.1,-1.3594
GOOG,17-02-2023,94.59,95.78,-1.2424
GOOG,21-02-2023,92.05,94.59,-2.6853
GOOG,22-02-2023,91.8,92.05,-0.2716
GOOG,23-02-2023,91.07,91.8,-0.7952
GOOG,24-02-2023,89.35,91.07,-1.8887
GOOG,27-02-2023,90.1,89.35,0.8394
GOOG,28-02-2023,90.3,90.1,0.222
GOOG,01-03-2023,90.51,90.3,0.2326
GOOG,02-03-2023,92.31,90.51,1.9887
GOOG,03-03-2023,94.02,92.31,1.8525
GOOG,06-03-2023,95.58,94.02,1.6592
GOOG,07-03-2023,94.17,95.58,-1.4752
GOOG,08-03-2023,94.65,94.17,0.5097
GOOG,09-03-2023,92.66,94.65,-2.1025
GOOG,10-03-2023,91.01,92.66,-1.7807
GOOG,13-03-2023,91.66,91.01,0.7142
GOOG,14-03-2023,94.25,91.66,2.8257
GOOG,15-03-2023,96.55,94.25,2.4403
GOOG,16-03-2023,101.07,96.55,4.6815
GOOG,17-03-2023,102.46,101.07,1.3753
GOOG,20-03-2023,101.93,102.46,-0.5173
GOOG,21-03-2023,105.84,101.93,3.836
GOOG,22-03-2023,104.22,105.84,-1.5306
GOOG,23-03-2023,106.26,104.22,1.9574
GOOG,24-03-2023,106.06,106.26,-0.1882
GOOG,27-03-2023,103.06,106.06,-2.8286
GOOG,28-03-2023,101.36,103.06,-1.6495
GOOG,29-03-2023,101.9,101.36,0.5328
GOOG,30-03-2023,101.32,101.9,-0.5692
GOOG,31-03-2023,104,101.32,2.6451
GOOG,03-04-2023,104.91,104,0.875
